X,Y,OBJECTID,primary_key,occ_dt,obfAddress,x_rand,y_rand,disclaimer,place_name,                                             ,locationTranslation
-111.8851187278,33.4173320007,91054,TE201632789         ,2016-03-19T00:04:00.000Z,2XXX E DON CARLOS AVE     ,709626,879373,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9257514811,33.416868451,91057,TE201633398         ,2016-03-19T14:00:00.000Z,9XX E LEMON ST    ,697228,879203,Point has not been altered,THE LINK                                ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.918091391,33.360306404,91071,TE201633401         ,2016-03-19T22:00:00.000Z,1XXX E CARMEN ST     ,699565,858623,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9186508932,33.3355402704,91073,TE201633392         ,2016-03-19T17:30:00.000Z,1XXX E LOS ARBOLES DR     ,699394,849612,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9164832169,33.3779457921,91084,TE201633680         ,2016-03-21T01:30:00.000Z,1XXX E NORTHSHORE DR     ,700056,865041,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9577549325,33.4241012654,91088,TE201633489         ,2016-03-18T12:00:00.000Z,1XXX W 7TH ST     ,687464,881837,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9596581705,33.3753713235,91090,TE201632964         ,2016-03-19T10:52:00.000Z,1XXX W BASELINE RD     ,686876,864107,Point has not been altered,MISSION SPRINGS APARTMENTS              ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8987807697,33.4076988186,91094,TE201633927         ,2016-03-21T20:53:00.000Z,2XXX E BROADWAY RD     ,705458,875867,Point has not been altered,WILLOW CREEK APARTMENTS                 ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9383276983,33.3813794253,91095,TE201633935         ,2016-03-21T21:15:00.000Z,4XXX S GRANDVIEW AVE     ,693388,866291,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9190188568,33.3817193484,91105,TE201633906         ,2016-03-21T19:23:00.000Z,4XXX S STANLEY PL     ,699282,866414,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8868424367,33.4274630272,91113,TE201633806         ,2016-03-21T14:19:00.000Z,2XXX E 5TH ST     ,709099,883059,Point has not been altered,in VILLAGIO AT TEMPE                    ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9305809855,33.3675257463,91115,TE201633897         ,2016-03-19T13:00:00.000Z,6XX E WESTCHESTER DR    ,695752,861250,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9038197345,33.414966224,91117,TE201633992         ,2016-03-22T00:41:00.000Z,1XXX E APACHE BLVD     ,703920,878511,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9270597814,33.3947024466,91118,TE201633771         ,2016-03-21T12:08:00.000Z,7XX E GENEVA DR    ,696828,871138,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9143596546,33.4077000863,91119,TE201633757         ,2016-03-21T06:00:00.000Z,1XXX E BROADWAY RD     ,700704,875867,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9242716136,33.4340130585,91120,TE201633000         ,2016-03-19T12:00:00.000Z,1XXX E PLAYA DEL NORTE DR     ,697680,885441,Point has not been altered,TEN01 ON THE LAKE APARTMENTS            ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9219890785,33.4167917142,91124,TE201633709         ,2016-03-20T23:00:00.000Z,1XXX E LEMON ST     ,698376,879175,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9194184784,33.3799988306,91128,TE201633681         ,2016-03-20T12:00:00.000Z,5XXX S TERRACE RD     ,699160,865788,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9444951823,33.4185504326,91130,TE201633578         ,2016-03-20T23:36:00.000Z,1XXX S FARMER AVE     ,691509,879816,Point has not been altered,VILLA NICOLE APARTMENTS                 ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9287641643,33.3989870647,91132,TE201632812         ,2016-03-18T20:00:00.000Z,6XX E WESLEYAN DR    ,696308,872697,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9087509582,33.3907449151,91147,TE201633761         ,2016-03-20T03:00:00.000Z,3XXX S MCCLINTOCK DR     ,702416,869698,Point has not been altered,TALAVERA                                ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9245058964,33.4147357757,91148,TE201634065         ,2016-03-22T08:09:00.000Z,9XX E APACHE BLVD    ,697608,878427,Point has not been altered,THE DISTRICT ON APACHE                  ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.909629852,33.3804823832,91151,TE201633641         ,2016-03-20T23:00:00.000Z,1XXX E DUNBAR DR     ,702148,865964,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9266122733,33.3780031106,91152,TE201633670         ,2016-03-20T22:50:00.000Z,9XX E BASELINE RD    ,696964,865062,Point has not been altered,LAKEVIEW AT THE BAY APARTMENTS          ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9229951232,33.3701895869,91160,TE201634173         ,2016-03-22T11:40:00.000Z,1XXX E MAGDALENA DR     ,698068,862219,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.882456509,33.4198735661,91161,TE201633874         ,2016-03-21T13:00:00.000Z,9XX S ACORN AVE    ,710438,880298,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9599294567,33.3278041401,91162,TE201634122         ,2016-03-22T10:57:00.000Z,1XXX W JEANINE DR     ,686786,846800,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9087509582,33.3907449151,91165,TE201634263         ,2016-02-22T14:22:00.000Z,3XXX S MCCLINTOCK DR     ,702416,869698,Point has not been altered,TALAVERA                                ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9342840449,33.424898358,91166,TE201630187         ,2016-03-13T00:23:00.000Z,3XX E VETERANS WAY    ,694625,882125,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9281883615,33.4057509526,91179,TE201628848         ,2016-03-09T18:23:00.000Z,2XXX S GRANADA DR     ,696484,875158,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9245058964,33.4147357757,91180,TE201630567         ,2016-02-22T00:00:00.000Z,9XX E APACHE BLVD    ,697608,878427,Point has not been altered,in THE DISTRICT ON APACHE               ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9150614931,33.3772806643,91183,TE201631247         ,2016-03-15T18:15:00.000Z,1XXX E BAYVIEW DR     ,700490,864799,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8991412844,33.3911561921,91185,TE201631647         ,2016-03-16T17:19:00.000Z,2XXX E LAGUNA DR     ,705349,869848,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8938414552,33.3984825962,91189,TE201632051         ,2016-03-17T16:31:00.000Z,2XXX E CAIRO DR     ,706966,872514,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9218979137,33.3721272757,91190,TE201632386         ,2011-08-01T00:00:00.000Z,5XXX S CLAMBAKE BAY CT     ,698403,862924,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9351306753,33.3210821131,91193,TE201632942         ,2016-03-18T22:00:00.000Z,7X E KELLY LN   ,694360,844352,Point has not been altered,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9475004797,33.3533270722,91198,TE201633418         ,2016-03-20T12:29:00.000Z,7XXX S KYRENE RD     ,690585,856085,Point has not been altered,in ELLIOTS CROSSING APARTMENTS          ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8999855804,33.3621329954,91200,TE200021289         ,2000-02-06T06:00:00.000Z,2XXX E WOODMAN DR     ,705093,859288,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9650292391,33.3494626859,91202,TE200030767         ,2000-02-21T20:30:00.000Z,1XXX W ELLIOT RD     ,685232,854681,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,DAYS INN                                ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9209740736,33.370082485,91203,TE200033799         ,2000-02-27T21:30:00.000Z,1XXX E MAGDALENA DR     ,698685,862180,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9393085569,33.3865077955,91204,TE200040834         ,2000-03-10T20:30:00.000Z,4XXX S MILL AVE     ,693089,868157,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9041504518,33.4169725916,91205,TE201633718         ,2016-03-19T12:00:00.000Z,1XXX E DON CARLOS AVE     ,703819,879241,Point has not been altered,DESERT WILLOW APARTMENTS                ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9363189438,33.3497701272,91206,TE200050122         ,2000-03-26T03:00:00.000Z,7XXX S FOREST AVE     ,693999,854790,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9096627933,33.4190645588,91207,TE201634100         ,2016-03-21T17:00:00.000Z,1XXX E 8TH ST     ,702137,880002,Point has not been altered,FOXFIRE APARTMENTS                      ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9260273597,33.4222855285,91208,TE200050755         ,2000-03-27T22:30:00.000Z, RURAL RD / E UNIVERSITY DR  ,697144,881174,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9523927274,33.4240616996,91211,TE200081564         ,2000-05-22T01:30:00.000Z,6XX S HARDY DR    ,689100,881822,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9242002399,33.4426017893,91212,TE2000103250        ,2000-07-01T23:30:00.000Z,9XX E TEMPE DR    ,697702,888566,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9409702863,33.424295329,91214,TE201633755         ,2016-03-21T11:23:00.000Z,1XX W 6TH ST    ,692585,881906,Point has not been altered,W6TH APARTMENTS                         ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9390648361,33.3815112185,91215,TE2000117766        ,2000-07-29T20:00:00.000Z,4XXX S MILL AVE     ,693163,866339,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9223175488,33.3775279038,91216,TE2000135027        ,2000-08-28T22:00:00.000Z,5XXX S LAKESHORE DR     ,698275,864889,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,in HARBOUR VILLAGE                      ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.8949925324,33.4209675046,91217,TE201633760         ,2016-03-21T11:37:00.000Z,2XXX E UNIVERSITY DR     ,706613,880695,Point has not been altered,in TEMPE APARTMENTS                     ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9108729571,33.3577502393,91218,TE201633773         ,2016-03-20T10:00:00.000Z,6XXX S MCCLINTOCK DR     ,701769,857693,Point has not been altered,in LITTLE COTTONWOODS APARTMENTS        ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
-111.9459680072,33.4223208986,91219,TE2000139811        ,2000-09-07T03:20:00.000Z,5XX W UNIVERSITY DR    ,691060,881188,Sexual Violence Related Call Type locations have been randomized to keep the identities of the victims secret.,HERMOSA PLACE                           ,BURGLARY FROM VEHICLE         ,Residence/Home                                                                 
